case_id,split,passage,reference,rationale,human_status,reviewer,correction_or_note
catalog-v2-01-01,calibration,Dawn lamp. Material: aluminum. Net weight: 450 g. Made in Brazil.,"{""material"": ""aluminum"", ""weight_g"": 450, ""country"": ""BR""}",All three attributes are explicitly stated.,pending,,
catalog-v2-01-02,calibration,"Horizon mug: ceramic, 320 g, manufactured in Portugal.","{""material"": ""ceramic"", ""weight_g"": 320, ""country"": ""PT""}",Copy the declared attributes; PT denotes Portugal.,pending,,
catalog-v2-01-03,calibration,Breeze bag: cotton. Weight: 180 g. Country of manufacture: India.,"{""material"": ""cotton"", ""weight_g"": 180, ""country"": ""IN""}",IN identifies the stated manufacturing country.,pending,,
catalog-v2-02-01,calibration,"Ridge tray: wood, 600 g. Country of manufacture not specified.","{""material"": ""wood"", ""weight_g"": 600, ""country"": null}",An unspecified country requires null with the key present.,pending,,
catalog-v2-02-02,calibration,Wind basket: straw. Weight unavailable. No manufacturing country is provided.,"{""material"": ""straw"", ""weight_g"": null, ""country"": null}",Missing weight and country remain null.,pending,,
catalog-v2-02-03,calibration,"Cloud accessory. No material, weight, or manufacturing country is provided.","{""material"": null, ""weight_g"": null, ""country"": null}",Abstain on all fields; do not use an empty string or N/A.,pending,,
catalog-v2-03-01,calibration,Lake vase: glass. Net weight: 0.8 kg. Made in Poland.,"{""material"": ""glass"", ""weight_g"": 800, ""country"": ""PL""}",0.8 kg equals 800 g.,pending,,
catalog-v2-03-02,calibration,Arch stool: oak wood. Mass: 3.2 kg. Made in Denmark.,"{""material"": ""oak wood"", ""weight_g"": 3200, ""country"": ""DK""}",3.2 kg equals 3200 g.,pending,,
catalog-v2-03-03,calibration,"Leaf box: bamboo. Weight: 0,35 kg (decimal comma). Made in Vietnam.","{""material"": ""bamboo"", ""weight_g"": 350, ""country"": ""VN""}","An explicitly marked decimal comma is valid: 0,35 kg = 350 g.",pending,,
catalog-v2-04-01,calibration,"Delta grip: rubber, made in Mexico. Two equally authoritative specifications state 50 g and 70 g; neither takes precedence.","{""material"": ""rubber"", ""weight_g"": null, ""country"": ""MX""}",An unresolved weight conflict requires null; the other fields are known.,pending,,
catalog-v2-04-02,calibration,"Weave hook: resin, made in Spain. Current specifications disagree between 45 g and 60 g, with no priority.","{""material"": ""resin"", ""weight_g"": null, ""country"": ""ES""}",Do not arbitrarily choose either weight.,pending,,
catalog-v2-04-03,calibration,"Stone coaster: marble, made in Italy. Net weight is 110 g in one specification and 130 g in another; neither has a date or priority.","{""material"": ""marble"", ""weight_g"": null, ""country"": ""IT""}",The values conflict and there is no tie-breaking rule.,pending,,
catalog-v2-05-01,calibration,"Summit bottle: stainless steel, made in China. Net product weight: 275 g. Weight including packaging: 410 g.","{""material"": ""stainless steel"", ""weight_g"": 275, ""country"": ""CN""}","Select 275 g, excluding packaging.",pending,,
catalog-v2-05-02,calibration,Meadow blanket: wool. Net weight: 900 g. Shipping weight: 1200 g. Made in Nepal.,"{""material"": ""wool"", ""weight_g"": 900, ""country"": ""NP""}",Shipping weight is not product weight.,pending,,
catalog-v2-05-03,calibration,"Garden cover: cotton, made in Brazil. Net weight: 95 g. Gross packaged weight: 150 g.","{""material"": ""cotton"", ""weight_g"": 95, ""country"": ""BR""}",Use the declared net weight.,pending,,
catalog-v2-06-01,calibration,"Product sold: one Shore cork coaster, 30 g per item. Set of four: 120 g. Made in Portugal.","{""material"": ""cork"", ""weight_g"": 30, ""country"": ""PT""}",The SKU is one item; the set weight does not apply.,pending,,
catalog-v2-06-02,calibration,SKU: one Root bamboo spoon. Each spoon weighs 18 g; six spoons weigh 108 g excluding the box. Made in China.,"{""material"": ""bamboo"", ""weight_g"": 18, ""country"": ""CN""}",Extract the weight of one spoon.,pending,,
catalog-v2-06-03,calibration,"Listed item: one Solar glass cup, 160 g. Two-cup set: 320 g. Made in Poland.","{""material"": ""glass"", ""weight_g"": 160, ""country"": ""PL""}","The listed item is one cup, not the set.",pending,,
catalog-v2-07-01,calibration,"Copper cup: copper, 160 g. Designed in the United Kingdom. Manufactured in India. Distributed by a Brazilian company.","{""material"": ""copper"", ""weight_g"": 160, ""country"": ""IN""}",Manufacture in India takes precedence over design and distribution.,pending,,
catalog-v2-07-02,calibration,"North pouch: felt, 60 g. German brand, made in Portugal. Imported into Brazil.","{""material"": ""felt"", ""weight_g"": 60, ""country"": ""PT""}",Brand origin and importer location do not establish manufacture.,pending,,
